00:01:14	00:01:28	14.0
00:01:28	00:01:42	14.0
00:04:52	00:05:06	14.0
00:07:29	00:07:41	12.0
00:07:43	00:07:55	12.0
00:08:11	00:08:24	13.0
00:08:40	00:08:53	13.0
00:09:09	00:09:21	12.0
00:09:23	00:09:35	12.0
00:09:38	00:09:49	11.0
00:09:51	00:10:04	13.0
00:10:20	00:10:32	12.0
00:10:48	00:11:00	12.0
00:11:02	00:11:14	12.0
00:11:17	00:11:29	12.0
00:11:31	00:11:43	12.0
00:11:59	00:12:12	13.0
00:12:28	00:12:40	12.0
00:12:42	00:12:54	12.0
00:12:57	00:13:09	12.0
00:13:10	00:13:23	13.0
00:13:39	00:13:51	12.0
00:14:07	00:14:20	13.0
00:14:22	00:14:34	12.0
00:14:37	00:14:48	11.0
00:14:50	00:15:03	13.0
00:15:19	00:15:31	12.0
00:15:47	00:16:00	13.0
00:16:01	00:16:12	11.0
00:16:16	00:16:28	12.0
00:16:30	00:16:42	12.0
00:17:27	00:17:39	12.0
00:17:41	00:17:53	12.0
00:17:57	00:18:08	11.0
00:18:09	00:18:22	13.0
00:19:06	00:19:19	13.0
00:19:20	00:19:31	11.0
00:19:35	00:19:47	12.0
00:19:49	00:20:01	12.0
00:20:17	00:20:30	13.0
00:20:46	00:20:58	12.0
00:21:15	00:21:27	12.0
00:21:28	00:21:41	13.0
00:21:58	00:22:10	12.0
00:22:26	00:22:38	12.0
00:22:54	00:23:07	13.0
00:23:08	00:23:21	13.0
00:23:24	00:23:35	11.0
00:23:37	00:23:49	12.0
00:24:05	00:24:18	13.0
00:24:33	00:24:46	13.0
00:25:02	00:25:14	12.0
00:25:44	00:25:57	13.0
00:26:13	00:26:25	12.0
00:26:27	00:26:39	12.0
00:26:41	00:26:54	13.0
00:26:56	00:27:08	12.0
00:27:24	00:27:36	12.0
00:27:53	00:28:05	12.0
00:28:07	00:28:19	12.0
00:28:22	00:28:33	11.0
00:28:35	00:28:48	13.0
00:29:32	00:29:45	13.0
00:29:47	00:29:59	12.0
00:30:15	00:30:27	12.0
00:30:43	00:30:56	13.0
00:30:58	00:31:10	12.0
00:31:26	00:31:39	13.0
